City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Pochutla,MX,15.7432,-96.4661,75.81,91,95,3.13,overcast clouds
155,Centralia,US,46.7162,-122.9543,61.25,87,75,0.0,broken clouds
156,Valparaiso,CL,-33.0393,-71.6273,54.48,81,94,3.65,overcast clouds
157,Saskylakh,RU,71.9167,114.0833,48.36,47,82,14.56,broken clouds
158,Ilulissat,GL,69.2167,-51.1,37.42,75,90,5.75,overcast clouds
159,Kahului,US,20.8947,-156.47,77.02,78,90,11.5,overcast clouds
160,Sungaipenuh,ID,-2.0833,101.3833,77.43,69,40,1.77,scattered clouds
161,Muros,ES,42.7762,-9.0603,67.23,93,35,5.46,scattered clouds
162,Urubicha,BO,-15.3833,-62.95,62.51,78,0,1.07,clear sky
163,Beringovskiy,RU,63.05,179.3167,34.77,99,100,13.91,light rain
164,Kaitangata,NZ,-46.2817,169.8464,51.62,96,100,4.65,overcast clouds
165,Port Alfred,ZA,-33.5906,26.891,59.92,86,80,12.88,broken clouds
166,Ancud,CL,-41.8697,-73.8203,35.42,78,6,6.49,clear sky
167,Yabrud,SY,33.9674,36.6574,63.52,26,0,4.63,clear sky
168,Necochea,AR,-38.5473,-58.7368,53.04,89,100,13.53,overcast clouds
169,Khani,GE,41.9563,42.9566,63.97,41,2,3.58,clear sky
170,Labrea,BR,-7.2586,-64.7981,75.43,69,62,1.16,broken clouds
171,Thompson,CA,55.7435,-97.8558,48.36,81,75,4.61,broken clouds
172,Khandyga,RU,62.6667,135.6,58.28,60,90,4.94,overcast clouds
173,Gemena,CD,3.25,19.7667,74.16,80,92,2.48,overcast clouds
174,Jibuti,DJ,11.5,42.5,90.82,26,100,8.93,overcast clouds
175,Gidam,IN,18.9833,81.4,85.82,63,100,8.75,overcast clouds
176,Boddam,GB,57.4667,-1.7833,56.08,75,100,19.24,overcast clouds
177,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,83,40,1.23,scattered clouds
178,Makushino,RU,55.2103,67.2442,79.45,34,41,4.81,scattered clouds
179,Tura,IN,25.5198,90.2201,84.72,75,79,6.8,broken clouds
180,Port Augusta,AU,-32.5,137.7667,66.7,39,62,12.12,light rain
181,Kapoeta,SS,4.7717,33.5903,80.87,50,99,4.92,overcast clouds
182,Batavia,US,41.85,-88.3126,74.77,63,1,1.01,clear sky
183,Rincon,US,32.296,-81.2354,76.91,94,75,0.0,broken clouds
184,Lokomotivnyy,RU,53.0118,60.5684,78.46,28,63,12.95,broken clouds
185,San Cristobal,VE,7.7669,-72.225,65.08,96,100,3.02,overcast clouds
186,Arraial Do Cabo,BR,-22.9661,-42.0278,68.4,62,46,8.52,scattered clouds
187,Mayo,US,38.8876,-76.5119,71.55,84,40,1.99,scattered clouds
188,Mandera,KE,3.9366,41.867,80.64,44,100,17.31,overcast clouds
189,Plettenberg Bay,ZA,-34.0527,23.3716,56.08,83,57,3.67,broken clouds
190,Mandalgovi,MN,45.7625,106.2708,73.44,24,96,8.99,overcast clouds
191,Opuwo,NA,-18.0607,13.84,52.97,33,0,7.99,clear sky
192,Hermanus,ZA,-34.4187,19.2345,50.9,84,1,7.74,clear sky
193,Grand-Lahou,CI,5.1367,-5.0242,77.83,89,94,5.41,light rain
194,Tiznit,MA,29.5833,-9.5,61.84,85,32,2.95,scattered clouds
195,Moron,AR,-34.6534,-58.6198,58.91,90,3,5.23,clear sky
196,Chuy,UY,-33.6971,-53.4616,53.46,91,0,6.26,light rain
197,Anderson,US,34.5334,-82.6499,74.16,93,1,0.0,clear sky
198,Kavieng,PG,-2.5744,150.7967,85.26,63,7,8.59,clear sky
199,Karratha,AU,-20.7377,116.8463,80.67,31,5,9.93,clear sky
200,Balkhash,KZ,46.844,74.9804,77.61,18,0,8.95,clear sky
201,Chumikan,RU,54.7183,135.315,45.05,72,100,6.64,overcast clouds
202,Myitkyina,MM,25.3833,97.4,86.76,75,43,3.98,scattered clouds
203,Thanh Hoa,VN,19.8,105.7667,90.12,59,88,10.63,overcast clouds
204,Gogrial,SS,8.5332,28.1004,81.52,60,86,10.89,overcast clouds
205,Havelock,US,34.8791,-76.9013,73.38,93,97,1.99,overcast clouds
206,Inhapim,BR,-19.5492,-42.12,58.01,89,47,2.77,scattered clouds
207,Souillac,MU,-20.5167,57.5167,76.35,69,20,16.11,few clouds
208,Magdagachi,RU,53.45,125.8,72.93,72,100,6.11,light rain
209,Tairua,NZ,-37.0167,175.85,60.1,96,100,16.71,light rain
210,Maniitsoq,GL,65.4167,-52.9,37.78,76,41,8.28,scattered clouds
211,Antalaha,MG,-14.9003,50.2788,75.78,78,11,2.91,few clouds
212,Kenai,US,60.5544,-151.2583,59.09,71,1,14.97,clear sky
213,Hamilton,US,39.1834,-84.5333,69.55,82,1,0.0,clear sky
214,Rumphi,MW,-11.0186,33.8575,63.12,51,14,3.27,few clouds
215,Sabinas Hidalgo,MX,26.5,-100.1667,79.74,68,66,6.46,broken clouds
216,Stromness,GB,58.965,-3.296,52.05,81,46,25.3,light rain
217,Puerto Escondido,MX,15.85,-97.0667,80.51,83,96,2.95,overcast clouds
218,Shimoda,JP,34.6667,138.95,75.11,62,96,5.23,light rain
219,Cayenne,GF,4.9333,-52.3333,75.24,91,75,0.0,broken clouds
220,Gillette,US,44.2911,-105.5022,73.24,63,0,5.73,clear sky
221,Vila Velha,BR,-20.3297,-40.2925,67.95,77,40,3.44,scattered clouds
222,Sampit,ID,-2.5333,112.95,94.98,43,65,2.21,broken clouds
223,Port Lincoln,AU,-34.7333,135.8667,63.52,53,50,6.2,scattered clouds
224,Samandag,TR,36.0842,35.9771,77.52,61,2,5.75,clear sky
225,Dryden,CA,49.7833,-92.7503,57.49,82,1,6.91,clear sky
226,Iqaluit,CA,63.7506,-68.5145,33.53,86,90,5.99,overcast clouds
227,San Patricio,US,28.017,-97.5169,81.9,90,2,6.85,clear sky
228,Cockburn Town,TC,21.4612,-71.1419,80.37,79,12,20.22,few clouds
229,Athabasca,CA,54.7169,-113.2854,66.02,88,75,5.23,broken clouds
230,Berlevag,NO,70.8578,29.0864,48.15,61,0,23.02,clear sky
231,Santiago,CL,-33.4569,-70.6483,57.16,48,88,3.44,mist
232,Batagay-Alyta,RU,67.8006,130.4114,60.87,41,82,19.37,broken clouds
233,Dunedin,NZ,-45.8742,170.5036,52.81,96,78,7.81,broken clouds
234,San Jose,US,37.3394,-121.895,68.27,78,20,10.36,few clouds
235,Barrow,US,71.2906,-156.7887,37.42,81,20,19.57,few clouds
236,Pforzheim,DE,48.8833,8.7,61.36,69,9,5.32,clear sky
237,Samaipata,BO,-18.15,-63.8667,40.23,84,0,3.56,clear sky
238,Bonavista,CA,48.6499,-53.1147,42.8,93,98,6.73,overcast clouds
239,Sur,OM,22.5667,59.5289,96.44,44,1,5.3,clear sky
240,Killarney,IE,52.05,-9.5167,54.73,92,100,3.49,overcast clouds
241,Camana,PE,-16.6228,-72.7111,62.6,81,3,4.94,clear sky
242,Kavaratti,IN,10.5669,72.642,83.55,76,100,23.6,overcast clouds
243,Kaka,TM,37.3482,59.6143,98.65,11,2,15.9,clear sky
244,Pisco,PE,-13.7,-76.2167,61.02,82,0,1.14,clear sky
245,Sazonovo,RU,59.0919,35.2268,63.86,73,100,6.11,overcast clouds
246,Lundazi,ZM,-12.2929,33.1782,62.8,50,4,8.93,clear sky
247,Sarangani,PH,5.4033,125.4636,83.05,65,99,1.74,overcast clouds
248,Saint-Francois,FR,46.4154,3.9054,64.18,100,0,2.3,clear sky
249,Torbay,CA,47.6666,-52.7314,47.57,91,75,11.5,broken clouds
250,Grootfontein,NA,-19.5667,18.1167,36.97,75,0,4.61,clear sky
251,Kihei,US,20.785,-156.4656,77.02,79,90,11.5,overcast clouds
252,Viedma,AR,-40.8135,-62.9967,47.05,72,84,11.81,broken clouds
253,Ialibu,PG,-6.2821,143.9935,65.44,75,88,2.84,overcast clouds
254,Barcelos,PT,41.5388,-8.6151,67.91,87,20,3.38,few clouds
255,Swan River,CA,52.1058,-101.2676,55.29,71,0,3.44,clear sky
256,Helong,CN,42.5397,128.9972,78.46,60,98,6.17,light rain
257,Saint-Paul,RE,-21.0096,55.2707,77.0,80,71,1.01,broken clouds
258,Aklavik,CA,68.2191,-135.0107,52.52,75,83,13.13,broken clouds
259,Tyret Pervaya,RU,53.6703,102.3106,64.29,53,70,4.83,light rain
260,Fort Nelson,CA,58.8053,-122.7002,63.99,52,20,3.44,few clouds
261,Severnyy-Kospashskiy,RU,59.0925,57.8008,73.69,41,59,8.59,broken clouds
262,Quatre Cocos,MU,-20.2078,57.7625,76.08,62,64,17.16,broken clouds
263,Lavrentiya,RU,65.5833,-171.0,34.92,99,100,8.16,light rain
264,Biak,ID,-0.9131,122.8766,79.45,81,90,5.53,overcast clouds
265,Margate,GB,51.3813,1.3862,65.03,66,4,1.99,clear sky
266,Oranjemund,NA,-28.55,16.4333,59.07,69,95,4.97,overcast clouds
267,Mar Del Plata,AR,-38.0023,-57.5575,59.09,89,0,1.99,clear sky
268,Kyela,TZ,-9.5833,33.85,69.21,70,81,0.92,broken clouds
269,Vao,NC,-22.6667,167.4833,73.78,84,98,10.16,overcast clouds
270,Duverge,DO,18.3784,-71.5247,75.9,90,81,1.5,broken clouds
271,Ketchikan,US,55.3422,-131.6461,55.38,93,98,2.51,overcast clouds
272,Grindavik,IS,63.8424,-22.4338,40.95,70,0,21.85,clear sky
273,Kargasok,RU,59.0556,80.8572,73.65,40,9,3.91,clear sky
274,Sri Aman,MY,1.2376,111.4621,87.85,70,40,3.44,scattered clouds
275,Omsukchan,RU,62.5333,155.8,69.1,32,32,10.22,scattered clouds
276,Riyadh,SA,24.6877,46.7219,91.54,14,0,13.8,clear sky
277,Burnie,AU,-41.0667,145.9167,56.91,92,100,3.29,overcast clouds
278,Alofi,NU,-19.0595,-169.9187,75.09,83,71,12.66,broken clouds
279,Nur,PL,52.6683,22.3221,59.79,64,5,11.88,clear sky
280,Naushki,RU,50.3828,106.1056,66.34,45,100,3.67,overcast clouds
281,Port Blair,IN,11.6667,92.75,84.11,78,100,21.47,overcast clouds
282,Pacific Grove,US,36.6177,-121.9166,65.28,88,75,4.0,broken clouds
283,Hirara,JP,24.8,125.2833,88.07,84,75,13.8,broken clouds
284,Soe,ID,-9.8607,124.284,79.7,53,76,7.61,broken clouds
285,Kieta,PG,-6.2167,155.6333,83.07,78,14,7.87,light rain
286,Lufilufi,WS,-13.8745,-171.5986,82.18,78,97,21.7,light rain
287,Thunder Bay,CA,48.4001,-89.3168,60.78,67,90,4.61,overcast clouds
288,Polunochnoye,RU,60.8697,60.4153,77.18,44,97,8.28,overcast clouds
289,Impfondo,CG,1.6381,18.0667,72.77,84,96,3.24,overcast clouds
290,Ahipara,NZ,-35.1667,173.1667,59.94,95,44,5.06,scattered clouds
291,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,72,40,8.95,scattered clouds
292,Pudozh,RU,61.8099,36.5345,56.32,91,100,6.04,overcast clouds
293,Flagstaff,US,35.1981,-111.6513,78.46,14,1,1.01,clear sky
294,Half Moon Bay,US,37.4636,-122.4286,67.41,86,75,6.91,broken clouds
295,Praia,CV,14.9215,-23.5087,75.74,83,0,13.8,clear sky
296,Hasaki,JP,35.7333,140.8333,75.49,82,100,11.41,overcast clouds
297,Ipameri,BR,-17.7219,-48.1597,65.35,57,42,1.95,scattered clouds
298,Nanortalik,GL,60.1432,-45.2371,34.25,93,65,6.11,broken clouds
299,Zyryanka,RU,65.75,150.85,64.81,63,37,30.78,light rain
300,Kyren,RU,51.6828,102.1408,66.7,46,85,2.68,overcast clouds
301,Raga,SS,8.4596,25.678,74.71,80,99,6.22,overcast clouds
302,Krasnoselkup,RU,65.7,82.4667,72.61,49,60,14.47,broken clouds
303,Victoria,HK,22.2855,114.1577,90.97,80,96,1.01,light rain
304,Haines Junction,CA,60.7522,-137.5108,57.15,62,88,5.75,overcast clouds
305,Nalut,LY,30.3333,10.85,72.43,34,0,8.79,clear sky
306,Kibala,TD,9.1104,18.3463,75.15,83,0,0.0,clear sky
307,Rock Sound,BS,24.9,-76.2,81.01,79,100,11.95,overcast clouds
308,Beckley,US,37.7782,-81.1882,64.89,97,1,3.44,clear sky
309,Lompoc,US,34.6391,-120.4579,66.42,88,90,5.75,fog
310,Kampene,CD,-3.6,26.6667,74.66,61,87,1.99,overcast clouds
311,Pastavy,BY,55.1168,26.8326,57.4,77,33,11.9,scattered clouds
312,Caratinga,BR,-19.7897,-42.1392,55.98,91,55,2.62,broken clouds
