City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Guerrero Negro,MX,2021-06-13 23:26:23,27.9769,-114.0611,70.41,67,15,17.13
154,Mahebourg,MU,2021-06-13 23:26:24,-20.4081,57.7,74.25,73,75,14.97
155,Buraydah,SA,2021-06-13 23:26:24,26.326,43.975,84.65,18,0,10.33
156,Tracy,US,2021-06-13 23:26:25,37.7397,-121.4252,89.22,40,1,11.01
157,Alice Springs,AU,2021-06-13 23:26:25,-23.7,133.8833,58.55,77,40,6.91
158,Bhuban,IN,2021-06-13 23:26:26,20.8833,85.8333,82.89,86,95,2.35
159,Lavrentiya,RU,2021-06-13 23:26:26,65.5833,-171.0,35.46,98,100,10.45
160,Codrington,AU,2021-06-13 23:26:26,-38.2667,141.9667,49.91,81,100,6.53
161,Tasiilaq,GL,2021-06-13 23:26:27,65.6145,-37.6368,35.76,77,99,1.28
162,Kisesa,TZ,2021-06-13 23:26:27,-3.0833,34.15,68.76,54,84,6.35
163,Korla,CN,2021-06-13 23:26:28,41.7597,86.1469,66.0,52,98,16.46
164,Cherskiy,RU,2021-06-13 23:26:28,68.75,161.3,60.57,34,69,4.54
165,Canico,PT,2021-06-13 23:26:29,32.6333,-16.85,70.43,60,40,5.75
166,Chokurdakh,RU,2021-06-13 23:26:29,70.6333,147.9167,60.31,51,97,7.05
167,Karangasem,ID,2021-06-13 23:26:29,-8.45,115.6167,77.88,87,92,5.1
168,Fort Portal,UG,2021-06-13 23:26:30,0.6617,30.2748,62.08,72,100,1.92
169,Parainen,FI,2021-06-13 23:26:30,60.3067,22.301,51.89,72,8,5.35
170,Thinadhoo,MV,2021-06-13 23:26:31,0.5333,72.9333,81.97,75,94,9.4
171,Victoria,HK,2021-06-13 23:26:31,22.2855,114.1577,85.96,85,100,1.99
172,Plock,PL,2021-06-13 23:26:31,52.5468,19.7064,49.96,93,5,7.23
173,Hammerfest,NO,2021-06-13 23:26:32,70.6634,23.6821,45.05,76,75,21.85
174,Qui Nhon,VN,2021-06-13 23:26:32,13.7667,109.2333,81.86,70,99,5.46
175,Santo Tomas,PH,2021-06-13 23:26:33,14.1079,121.1414,81.32,86,100,0.63
176,Ishigaki,JP,2021-06-13 23:26:33,24.3448,124.1572,84.33,89,75,12.66
177,Haicheng,CN,2021-06-13 23:26:34,40.8516,122.7475,69.35,61,100,6.89
178,Novoilinsk,RU,2021-06-13 23:26:34,51.6829,108.7143,51.58,71,43,8.23
179,Sambava,MG,2021-06-13 23:21:39,-14.2667,50.1667,70.2,93,13,3.94
180,Ekhabi,RU,2021-06-13 23:26:35,53.5102,142.9671,49.89,59,100,9.69
181,Kavieng,PG,2021-06-13 23:26:35,-2.5744,150.7967,83.98,71,15,13.73
182,Khash,IR,2021-06-13 23:26:36,28.2211,61.2158,82.45,12,0,3.91
183,Rio Gallegos,AR,2021-06-13 23:26:36,-51.6226,-69.2181,33.85,80,0,21.85
184,Metro,ID,2021-06-13 23:26:37,-5.1131,105.3067,74.79,94,24,4.0
185,Nuevo Progreso,MX,2021-06-13 23:25:11,23.1667,-97.95,87.6,72,81,4.0
186,Avera,US,2021-06-13 23:26:37,33.194,-82.5271,85.75,67,92,7.05
187,Malakal,SS,2021-06-13 23:26:38,9.5334,31.6605,81.03,64,100,3.94
188,Port Macquarie,AU,2021-06-13 23:26:38,-31.4333,152.9167,54.9,63,26,3.83
189,Chuy,UY,2021-06-13 23:22:02,-33.6971,-53.4616,56.8,85,0,6.17
190,Udomlya,RU,2021-06-13 23:26:39,57.8794,34.9925,57.56,87,64,3.8
191,Meulaboh,ID,2021-06-13 23:26:39,4.1363,96.1285,76.57,88,96,4.88
192,Narsaq,GL,2021-06-13 23:26:40,60.9167,-46.05,50.22,77,77,4.03
193,Lagoa,PT,2021-06-13 23:26:40,39.05,-27.9833,68.11,80,16,4.72
194,Bengkulu,ID,2021-06-13 23:26:41,-3.8004,102.2655,75.58,84,68,2.82
195,Faanui,PF,2021-06-13 23:26:41,-16.4833,-151.75,79.84,79,23,15.01
196,Nova Olinda Do Norte,BR,2021-06-13 23:26:41,-3.8881,-59.0942,80.47,72,95,1.68
197,Raton,US,2021-06-13 23:26:42,36.9034,-104.4391,88.14,33,75,9.22
198,Chernyshevskiy,RU,2021-06-13 23:26:42,63.0128,112.4714,56.44,63,94,2.93
199,Pangody,RU,2021-06-13 23:25:28,65.85,74.4859,65.77,52,100,8.68
200,Pervomayskoye,RU,2021-06-13 23:25:40,43.919,46.7102,63.73,92,76,5.55
201,Kampene,CD,2021-06-13 23:26:43,-3.6,26.6667,70.52,64,19,1.41
202,Cuamba,MZ,2021-06-13 23:26:44,-14.8031,36.5372,56.46,81,0,3.4
203,Esperance,AU,2021-06-13 23:26:44,-33.8667,121.9,51.64,73,2,19.51
204,Hualmay,PE,2021-06-13 23:26:44,-11.0964,-77.6139,65.5,82,15,7.76
205,Vardo,NO,2021-06-13 23:26:45,70.3705,31.1107,47.46,78,100,11.14
206,Salamanca,ES,2021-06-13 23:25:51,40.8333,-6.0,63.0,74,53,2.51
207,Champerico,GT,2021-06-13 23:26:46,14.3,-91.9167,84.34,73,100,3.76
208,North Branch,US,2021-06-13 23:26:46,45.5113,-92.9802,95.07,51,5,16.33
209,Kulhudhuffushi,MV,2021-06-13 23:26:47,6.6221,73.07,83.16,70,96,18.66
210,Belmonte,BR,2021-06-13 23:26:47,-15.8631,-38.8828,73.9,74,97,13.56
211,Birin,NP,2021-06-13 23:26:47,26.8865,88.0718,64.49,86,81,6.29
212,Hithadhoo,MV,2021-06-13 23:26:48,-0.6,73.0833,82.33,73,100,8.39
213,Boueni,YT,2021-06-13 23:24:38,-12.9025,45.0761,76.98,71,20,16.84
214,Changji,CN,2021-06-13 23:26:49,44.0167,87.3167,57.99,72,75,4.47
215,Oistins,BB,2021-06-13 23:26:50,13.0667,-59.5333,78.89,73,40,17.27
216,San Quintin,MX,2021-06-13 23:26:50,30.4833,-115.95,70.5,69,4,17.54
217,Saint-Georges,GD,2021-06-13 23:25:34,12.0564,-61.7485,82.08,78,75,9.22
218,Hasaki,JP,2021-06-13 23:26:51,35.7333,140.8333,75.42,88,100,10.65
219,Kemijarvi,FI,2021-06-13 23:26:51,66.7131,27.4306,46.72,69,35,6.51
220,Katobu,ID,2021-06-13 23:26:52,-4.9408,122.5276,75.31,93,100,3.11
221,Henties Bay,NA,2021-06-13 23:26:52,-22.116,14.2845,64.02,63,9,5.86
222,Santa Fe,AR,2021-06-13 23:25:22,-31.6333,-60.7,64.0,71,0,3.0
223,Castro,BR,2021-06-13 23:26:53,-24.7911,-50.0119,49.17,84,0,4.29
224,Nakusp,CA,2021-06-13 23:26:53,50.2499,-117.8023,61.14,72,95,5.75
225,Chicama,PE,2021-06-13 23:26:54,-7.8447,-79.1469,64.94,78,24,7.63
226,Longyearbyen,SJ,2021-06-13 23:26:54,78.2186,15.6401,28.09,81,100,5.14
227,Santiago Del Estero,AR,2021-06-13 23:26:55,-27.7951,-64.2615,67.15,36,0,7.85
228,San Carlos,VE,2021-06-13 23:26:55,9.6612,-68.5827,77.54,78,40,1.48
229,Tianpeng,CN,2021-06-13 23:26:55,30.9866,103.9393,75.63,82,100,2.73
230,Bambous Virieux,MU,2021-06-13 23:26:56,-20.3428,57.7575,74.21,73,75,14.97
231,East London,ZA,2021-06-13 23:23:22,-33.0153,27.9116,64.11,64,93,11.18
232,Shingu,JP,2021-06-13 23:26:56,33.7333,135.9833,76.19,85,99,4.56
233,Ketchikan,US,2021-06-13 23:26:57,55.3422,-131.6461,61.66,71,92,3.6
234,Andenes,NO,2021-06-13 23:26:57,69.3143,16.1194,42.78,75,90,16.11
235,Hamilton,US,2021-06-13 23:26:58,39.1834,-84.5333,87.24,61,20,1.01
236,Coria,ES,2021-06-13 23:26:58,39.9879,-6.5377,70.45,46,45,3.33
237,Najran,SA,2021-06-13 23:26:58,17.4924,44.1277,75.85,13,99,3.04
238,Poum,NC,2021-06-13 23:24:23,-20.2333,164.0167,74.89,72,45,6.73
239,San Ignacio,BZ,2021-06-13 23:26:59,17.1561,-89.0714,91.54,58,0,0.0
240,Sadovoye,RU,2021-06-13 23:26:59,47.7764,44.5089,64.72,73,100,3.04
241,Murfreesboro,US,2021-06-13 23:23:06,35.8456,-86.3903,91.24,68,1,0.0
242,Honningsvag,NO,2021-06-13 23:27:00,70.9821,25.9704,43.95,80,78,28.23
243,Le Port,RE,2021-06-13 23:27:01,-20.9373,55.2919,73.36,86,29,12.01
244,Yacuanquer,CO,2021-06-13 23:27:01,1.1158,-77.4017,51.62,93,100,2.95
245,Campo Verde,BR,2021-06-13 23:27:02,-20.4167,-54.0667,69.01,57,0,5.93
246,Vila Velha,BR,2021-06-13 23:26:44,-20.3297,-40.2925,69.75,78,75,5.75
247,Yamada,JP,2021-06-13 23:27:02,39.4667,141.95,71.08,75,91,3.69
248,Roald,NO,2021-06-13 23:27:03,62.5833,6.1333,55.17,82,90,13.8
249,Cayenne,GF,2021-06-13 23:27:04,4.9333,-52.3333,77.04,90,90,0.0
250,Ancud,CL,2021-06-13 23:27:05,-41.8697,-73.8203,40.42,73,9,6.08
251,Poya,NC,2021-06-13 23:27:05,-21.35,165.15,77.81,62,57,5.08
252,Vitim,RU,2021-06-13 23:27:05,59.4511,112.5578,60.96,43,100,1.59
253,Iona,US,2021-06-13 23:22:31,26.5204,-81.964,87.89,68,20,3.0
254,Constitucion,CL,2021-06-13 23:27:06,-35.3333,-72.4167,57.0,89,100,6.85
255,Namatanai,PG,2021-06-13 23:27:07,-3.6667,152.4333,83.25,64,62,5.37
256,Talnakh,RU,2021-06-13 23:27:07,69.4865,88.3972,37.89,92,100,8.72
257,Lypnyazhka,UA,2021-06-13 23:27:07,48.4469,31.0761,55.08,95,100,12.01
258,Luohe,CN,2021-06-13 23:27:08,33.5717,114.0353,78.82,88,96,6.38
259,Nome,US,2021-06-13 23:25:48,64.5011,-165.4064,46.17,87,90,10.36
260,Mar Del Plata,AR,2021-06-13 23:27:09,-38.0023,-57.5575,63.0,80,0,7.0
261,Barranca,PE,2021-06-13 23:25:08,-10.75,-77.7667,65.37,81,19,6.73
262,Elektrenai,LT,2021-06-13 23:27:09,54.7667,24.6333,54.68,84,46,10.94
263,Bairiki,KI,2021-06-13 23:27:10,1.3292,172.9752,86.0,74,40,12.66
264,Yelan,RU,2021-06-13 23:27:10,50.949,43.7378,59.61,92,41,4.09
265,San Matias,BO,2021-06-13 23:27:10,-16.3667,-58.4,72.37,60,0,3.69
266,Torbay,CA,2021-06-13 23:27:11,47.6666,-52.7314,50.88,79,90,17.27
267,Bonito,BR,2021-06-13 23:27:11,-21.1211,-56.4819,61.02,68,0,1.23
268,Kenitra,MA,2021-06-13 23:27:12,34.261,-6.5802,66.83,89,1,3.78
269,Carnarvon,AU,2021-06-13 23:27:12,-24.8667,113.6333,55.47,73,0,8.05
270,Port Hardy,CA,2021-06-13 23:27:13,50.6996,-127.4199,68.18,56,75,14.97
271,Porto Torres,IT,2021-06-13 23:27:13,40.835,8.3972,68.18,75,3,1.83
272,Flinders,AU,2021-06-13 23:27:14,-34.5833,150.8552,57.38,79,99,1.01
273,Kahului,US,2021-06-13 23:27:14,20.8947,-156.47,82.42,69,40,25.32
274,Salalah,OM,2021-06-13 23:23:59,17.0151,54.0924,84.29,84,75,8.05
275,Bethel,US,2021-06-13 23:27:15,41.3712,-73.414,74.07,75,90,8.05
276,Wajima,JP,2021-06-13 23:27:15,37.4,136.9,68.68,100,90,4.61
277,Vostok,RU,2021-06-13 23:27:16,46.4856,135.8833,63.41,50,0,3.62
278,Palmer,US,2021-06-13 23:23:57,42.1584,-72.3287,77.2,47,78,5.01
279,Paamiut,GL,2021-06-13 23:27:17,61.994,-49.6678,38.23,90,47,13.42
